year,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30,Y31,Y32,Y33,Y34,Y35,Y36,Y37,Y38,Y39,Y40,Y41,Y42,Y43,Y44,Y45,Y46,Y47,Y48,Y49,Y50,Y51,Y52,Y53,Y54,Y55,Y56,Y57,Y58,Y59,Y60,Y61,Y62,Y63,Y64,Y65,Y66,Y67,Y68,Y69,Y70,Y71,Y72,Y73,Y74,Y75,Y76,Y77,Y78,Y79,Y80,Y81,Y82,Y83,Y84,Y85,Y86,Y87,Y88,Y89,Y90,Y91,Y92,Y93,Y94,Y95,Y96,Y97,Y98,Y99,Y100,Y101,Y102,Y103,Y104,Y105,Y106,Y107,Y108,Y109,Y110,Y111,Y112,Y113,Y114,Y115,Y116,Y117,Y118,Y119,Y120,Y121,Y122,Y123,Y124,Y125
2024,90.87383071,90.03571528,88.96780956,87.88688434,86.80060804,85.71312859,84.62512161,83.53610487,82.44472069,81.35222278,80.26004151,79.1680262,78.07494137,76.98095346,75.8878478,74.79570516,73.70574642,72.61777926,71.52934532,70.44045119,69.35241117,68.26472404,67.17665098,66.08851032,64.9998184,63.91062037,62.82326645,61.73910342,60.65636258,59.57345147,58.49058218,57.40856323,56.33006261,55.25663821,54.18544469,53.11484967,52.04613031,50.9800358,49.9158413,48.85328233,47.79301505,46.73421613,45.67741939,44.62477673,43.57535311,42.52677414,41.4802746,40.43654788,39.39507053,38.35831431,37.32591136,36.29599392,35.27026273,34.25064445,33.23691599,32.228567,31.22713434,30.23389261,29.24693745,28.2656653,27.2922243,26.32738344,25.37048182,24.42110209,23.47939365,22.54636561,21.6232287,20.7101855,19.808199,18.91891889,18.04213011,17.17768625,16.32691812,15.49179942,14.67376035,13.8735319,13.09190013,12.32951138,11.58747513,10.8662651,10.16617736,9.489037223,8.83733079,8.213798594,7.619871961,7.054813404,6.518240779,6.010921904,5.533829449,5.087683398,4.673123404,4.290517441,3.939666628,3.619449422,3.327437778,3.060238733,2.814261209,2.588009718,2.381854768,2.195054837,2.025592659,1.871064769,1.729944396,1.601560124,1.483257468,1.373666236,1.27455433,1.178274666,1.090231406,0.9806112,0.828125,0.625,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2025,90.97065575,90.12793241,89.06070635,87.97959334,86.89325876,85.80624841,84.71845653,83.63002483,82.54058233,81.44889244,80.35615697,79.2639395,78.17222239,77.07961354,75.98636274,74.89422673,73.80308868,72.71421122,71.62732416,70.53974957,69.4515362,68.3639643,67.27650515,66.18852533,65.10052731,64.01218729,62.92360449,61.83717708,60.75426074,59.67297382,58.59165152,57.51051674,56.43017232,55.35333111,54.28167267,53.21230968,52.14366168,51.07706824,50.01329177,48.95145163,47.89130355,46.83350835,45.77714143,44.72270169,43.67242201,42.62546062,41.57952588,40.53589824,39.49527659,38.45727612,37.42428495,36.39581979,35.37005703,34.34876762,33.3338704,32.32523656,31.32242041,30.32686207,29.33978002,28.35924479,27.38460656,26.4178513,25.45971558,24.50965643,23.56724899,22.63274745,21.70732996,20.79235949,19.88806317,18.99535327,18.116011,17.24995147,16.39713531,15.55895044,14.73740749,13.93397799,13.14929103,12.3839457,11.63861677,10.91455068,10.21234654,9.532453936,8.87692493,8.248469521,7.649806454,7.082166376,6.544701488,6.036800188,5.558870453,5.11163359,4.695272601,4.309899159,3.955662467,3.63183149,3.336450345,3.066001428,2.817153136,2.588678911,2.380781913,2.193024679,2.023369747,1.869764759,1.729500537,1.600322541,1.482773908,1.374508561,1.269816446,1.169541741,1.079094595,0.971813012,0.824652778,0.625,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2026,91.0674854,90.21984595,89.15273464,88.07216098,86.98582494,85.89880321,84.8114436,83.72324246,82.6344125,81.54467409,80.45279729,79.35998042,78.2680174,77.17681864,76.08493628,74.9925841,73.9014457,72.8114205,71.72358901,70.63747603,69.55056181,68.46279289,67.37544028,66.28816758,65.20030387,64.11263642,63.02494123,61.93728419,60.85212945,59.77064507,58.69091659,57.61138247,56.53193811,55.45322771,54.37816764,53.30841768,52.24102519,51.17448372,50.11021056,49.0487216,47.98924803,46.93157623,45.87617528,44.82213335,43.77005148,42.72219748,41.67781671,40.63467512,39.59409308,38.55686776,37.52253765,36.49346925,35.46913924,34.44773531,33.43110642,32.42127409,31.41814509,30.42118696,29.43179558,28.45111077,27.47711936,26.50913322,25.54907988,24.59771599,23.65457397,22.71931146,21.79237924,20.87513085,19.96889813,19.07390697,18.19116489,17.32254255,16.46809155,15.62780016,14.8031131,13.99612274,13.20814092,12.43962182,11.69124053,10.96381137,10.25868804,9.576593341,8.918280053,8.286050393,7.682602268,7.110363545,6.570300946,6.061365241,5.582690264,5.134493968,4.716943982,4.329788981,3.972942874,3.646002603,3.347392349,3.073942312,2.822197112,2.591179129,2.381326758,2.192027682,2.021613827,1.867938296,1.728776213,1.601442303,1.483102683,1.376080359,1.273651983,1.161289472,1.06796367,0.975173611,0.854861111,0.645833333,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2027,91.16326282,90.31176378,89.24396262,88.16396145,87.0782978,85.9912853,84.90390317,83.81615261,82.72756107,81.63840629,80.5484963,79.45654141,78.3639874,77.27255422,76.18202958,75.09102164,73.99967733,72.90956128,71.82057017,70.73351809,69.64802804,68.56154453,67.47397966,66.38684893,65.29969937,64.21218848,63.12523632,62.03845896,60.95196123,59.86826248,58.78841149,57.71044689,56.63263657,55.55481827,54.47787298,53.40470957,52.33691404,51.27166761,50.20741086,49.14546261,48.08638422,47.02934293,45.97403767,44.92092005,43.86916633,42.81952617,41.77422391,40.73247485,39.69233059,38.65509703,37.62145677,36.59102186,35.56604609,34.54599393,33.52920998,32.51764022,31.51329972,30.51599807,29.52518063,28.54216728,27.56797462,26.60055192,25.63921147,24.68590913,23.74142461,22.80537754,21.87762984,20.9588289,20.05030926,19.15335949,18.26832102,17.39634506,16.5393278,15.69736395,14.87054584,14.06035134,13.26872266,12.49680911,11.74517111,11.01460381,10.30606097,9.620993399,8.960385673,8.325349831,7.718187573,7.141301632,6.596787815,6.085261254,5.605429358,5.156346192,4.737725097,4.349313388,3.990719345,3.661308628,3.359859847,3.083534411,2.829119984,2.59554498,2.383495374,2.192560361,2.020755182,1.866001456,1.72688386,1.601133301,1.486536117,1.377987043,1.275831463,1.170294565,1.06005634,1.006129535,0.916666667,0.666666667,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2028,91.25841904,90.40303217,89.33507098,88.25501967,87.16998906,86.08360233,84.99624079,83.90851659,82.82039196,81.73142456,80.6420709,79.55220692,78.4605205,77.3684098,76.27757888,75.18797057,74.09801902,73.00760791,71.91848928,70.83031346,69.74388414,68.65883382,67.57254663,66.48514637,65.39817507,64.31142836,63.22457938,62.13854753,61.05297064,59.96796089,58.88594598,57.80778072,56.73151864,55.65538397,54.57927245,53.50419157,52.43302874,51.36740745,50.30438774,49.24246104,48.18296478,47.12628437,46.07159331,45.01853972,43.96764198,42.91822612,41.87110492,40.82843717,39.78962535,38.75277798,37.71908835,36.68926374,35.66284726,34.64210873,33.62662956,32.61489348,31.60879613,30.61022265,29.61898358,28.63452925,27.65804178,26.69035389,25.72949854,24.77486792,23.82840069,22.89098424,21.96240827,21.04272343,20.13260066,19.23333125,18.34632591,17.47207619,16.61174259,15.76721468,14.93867378,14.12625951,13.3313495,12.55574521,11.80065187,11.06675132,10.35498456,9.666458276,9.002843326,8.365435611,7.755422422,7.17487197,6.62587961,6.110075383,5.627658349,5.177300475,4.757682681,4.368132278,4.008224774,3.677077357,3.373297648,3.094388414,2.837462999,2.601566872,2.387222238,2.194439119,2.021186062,1.865194714,1.724753195,1.59851613,1.486400787,1.382939245,1.279535933,1.183983639,1.075817668,1.013037465,0.917162698,0.666666667,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2029,91.35296932,90.49412207,89.42614932,88.34595841,87.26093403,86.17512479,85.08840237,84.00076817,82.91271731,81.8241759,80.73501063,79.64578317,78.5561076,77.46482012,76.37332628,75.2833975,74.1948402,73.10580672,72.01633852,70.92804897,69.84045,68.75446176,67.66965899,66.58352996,65.49631768,64.40973766,63.32358147,62.237662,61.15288936,60.0688073,58.98551242,57.90512078,56.82863765,55.7541031,54.6796775,53.60541673,52.53234518,51.46334208,50.39996283,49.33928704,48.27977449,47.22264284,46.16825616,45.11577749,44.06493468,43.0163059,41.9693208,40.92486981,39.88514152,38.84952176,37.81611825,36.78619127,35.76036761,34.73818256,33.72195943,32.7114266,31.70509774,30.70476352,29.71225455,28.72735261,27.74940213,26.77937882,25.81818382,24.86397875,23.91615187,22.97673013,22.04675799,21.12615764,20.21506932,19.31416709,18.42481959,17.54858869,16.68598369,15.83816346,15.007045,14.19285134,13.39566937,12.61674106,11.8579054,11.12046996,10.40530437,9.713489902,9.046381109,8.405920422,7.793458866,7.210064421,6.657483,6.137339394,5.650799932,5.197884034,4.776913023,4.386288024,4.025191365,3.692683868,3.387179895,3.106116926,2.846876369,2.608768614,2.392375418,2.197567266,2.0227052,1.865608868,1.724007896,1.595987226,1.482418344,1.383107155,1.28855281,1.192277837,1.093739836,0.978040113,0.923563416,0.708333333,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2030,91.44656978,90.58480208,89.51692602,88.4369282,87.35188299,86.26601792,85.1798171,84.09283334,83.00488135,81.91646142,80.82768184,79.73853934,78.64953585,77.56033559,76.46971363,75.37904501,74.29007377,73.20242793,72.11438927,71.02577565,69.93795966,68.85080187,67.76510096,66.68046733,65.59451916,64.5076807,63.42171535,62.33647011,61.25176158,60.16844731,59.08613439,58.0045232,56.92581158,55.85102356,54.7781903,53.70560705,52.63332905,51.5624434,50.4957742,49.43476199,48.37639633,47.31919882,46.26433349,45.21210656,44.16180118,43.11323867,42.06699543,41.02260675,39.98105927,38.94445621,37.91223116,36.88254988,35.85657213,34.83492426,33.81721399,32.80589564,31.80072531,30.80014925,29.80589245,28.81968531,27.84121694,26.86968906,25.90612146,24.95152188,24.00407629,23.06325173,22.13121089,21.20916634,20.29711201,19.39519591,18.50417523,17.62557324,16.76095216,15.91086042,15.07648823,14.2597268,13.4607287,12.67943955,11.91721532,11.17599538,10.45723159,9.761959823,9.09150123,8.447516566,7.831979561,7.246099565,6.690656883,6.166984183,5.676280509,5.219429274,4.795935376,4.403882592,4.041628862,3.707895559,3.401043421,3.118288291,2.85702299,2.616839955,2.398575842,2.201921549,2.025215632,1.86674318,1.72445849,1.595495566,1.478825658,1.378518792,1.289548948,1.201682878,1.105799107,0.974181271,0.891225962,0.6875,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2031,91.54017584,90.67474257,89.6071283,88.52746461,87.44273897,86.35691485,85.27065867,84.18414149,83.09685046,82.00853698,80.91981688,79.83102474,78.74216862,77.65368095,76.56517003,75.47532126,74.38553712,73.29748627,72.2108267,71.12363773,70.03551839,68.94816957,67.86129987,66.77572485,65.69128069,64.60569377,63.51944893,62.43441324,61.35037223,60.26710853,59.18554802,58.10493278,57.02501751,55.94802649,54.87492744,53.80393605,52.73334738,51.66324351,50.59470079,49.5303971,48.47167345,47.41561796,46.36070184,45.30797224,44.25784248,43.2097068,42.16351259,41.11982197,40.07825652,39.03986354,38.00664657,36.97805155,35.95222647,34.93038485,33.91317403,32.90031967,31.89435777,30.89486,29.90028725,28.91234144,27.93253748,26.96044265,25.99535581,25.03834975,24.09043362,23.14990876,22.21641673,21.29230067,20.3787492,19.47578295,18.58369037,17.70335987,16.83635477,15.98421223,15.14756759,14.32760146,13.52601729,12.74284829,11.9782006,11.23356863,10.51097649,9.812042119,9.138071626,8.490709871,7.871645146,7.282646875,6.724671662,6.19815846,5.704016369,5.243166372,4.815929823,4.421385805,4.05763342,3.722705135,3.414611477,3.130527828,2.867639648,2.625583647,2.405464299,2.207183354,2.028900832,1.868790225,1.725168408,1.596098294,1.47825917,1.373731658,1.28418108,1.20444861,1.11021189,0.982694892,0.828125,0.625,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2032,91.63366278,90.76459605,89.69678013,88.61735298,87.53315886,86.44765778,85.36150389,84.27499024,83.18816785,82.10046621,81.01185856,79.92317352,78.83463208,77.7463069,76.65850397,75.57068665,74.48170791,73.39286284,72.30568676,71.21986568,70.13323656,69.04555791,67.95852524,66.87174563,65.78639387,64.70234987,63.61730051,62.53195846,61.44814224,60.36559764,59.28403149,58.20413401,57.12523097,56.04704199,54.97178831,53.90053772,52.83151647,51.76304538,50.69520628,49.62902658,48.56710921,47.51070798,46.45686854,45.40406634,44.35339209,43.30538498,42.25955645,41.21586975,40.17498498,39.13653233,38.10146361,37.07183588,36.04704081,35.02528935,34.00786436,32.99546401,31.98793663,30.98760297,29.99402232,29.0057174,28.02416674,27.05069976,26.08498977,25.12643579,24.17608363,23.23503484,22.30177356,21.37615293,20.46050057,19.55599492,18.66279094,17.78130359,16.91251078,16.05796119,15.21923795,14.39698648,13.59221324,12.80646381,12.03989019,11.29276984,10.56673435,9.863933917,9.186257478,8.53536229,7.912892686,7.32035407,6.759246099,6.230162758,5.733198921,5.269002734,4.837959556,4.439874897,4.073694656,3.737231149,3.427889906,3.142582684,2.878382711,2.634766622,2.412948615,2.213015472,2.033397441,1.87184774,1.726733098,1.596958488,1.479222437,1.372236683,1.276092541,1.199019834,1.110031954,0.982694892,0.828125,0.625,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2033,91.72613487,90.85437441,89.78649376,88.70686908,87.62298749,86.53796233,85.45213511,84.36572573,83.27890807,82.19173512,81.10374724,80.01512752,78.92674175,77.83875349,76.75108791,75.66398001,74.57699819,73.48893502,72.40094011,71.31458497,70.22930972,69.14305354,68.05570434,66.9687928,65.88223948,64.79731421,63.71380237,62.6296287,61.54555117,60.46324241,59.38239134,58.30250795,57.22423438,56.14703942,55.07062108,53.99715872,52.92787381,51.86098945,50.79472289,49.72921573,48.66548855,47.60592468,46.55167981,45.49990842,44.44912903,43.4005656,42.35482227,41.31144112,40.27053352,39.23265957,38.19748699,37.16600935,36.14014751,35.11934802,34.10197129,33.08934955,32.08218229,31.08029693,30.0858789,29.09846311,28.11650318,27.14128642,26.17415362,25.21492985,24.26301522,23.31948931,22.38563498,21.46016171,20.54297171,19.63633201,18.74154551,17.85888004,16.988838,16.13244729,15.2912717,14.46690181,13.65982712,12.87092422,12.10176725,11.35265258,10.62408589,9.91781225,9.236254098,8.581627806,7.955583335,7.359614488,6.795001369,6.26279404,5.763240666,5.296257865,4.861959439,4.460259612,4.090742022,3.751926869,3.441026546,3.154425299,2.889022966,2.644128719,2.420841435,2.219282568,2.038076704,1.875561541,1.729258242,1.598675279,1.481640796,1.373419396,1.273168815,1.187033526,1.111033603,0.991558908,0.828125,0.625,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2034,91.81765538,90.94354608,89.87616436,88.79643693,87.71231412,86.62767092,85.54238577,84.45624663,83.36953504,82.28236791,81.19485673,80.10686701,79.01855795,77.93072162,76.84342148,75.7564388,74.67017949,73.58412284,72.49692033,71.40967934,70.32385778,69.23894174,68.15302051,67.06587948,65.97914924,64.89298418,63.80864431,62.72602753,61.64308437,60.56048066,59.47984047,58.40069393,57.32242067,56.24578968,55.17038689,54.09575485,53.024258,51.9571227,50.89240958,49.82846866,48.76539919,47.70402084,46.64660682,45.59440489,44.54462715,43.49591391,42.44955966,41.40622476,40.36558461,39.32765622,38.29303565,37.26140533,36.2336696,35.2117695,34.1952755,33.18264919,32.17520123,31.17363446,30.17766537,29.18937943,28.20824728,27.23259489,26.26367743,25.30299066,24.35035693,23.40520363,22.46883596,21.54271423,20.62559636,19.71736923,18.8203959,17.93610224,17.06482994,16.20709682,15.36401206,14.53716352,13.72794639,12.93672912,12.16441621,11.41270307,10.68209123,9.973226998,9.288170607,8.629655437,7.999869828,7.400320878,6.832284384,6.29661301,5.793951238,5.324365993,4.887312002,4.482474384,4.109563112,3.767622365,3.454425331,3.166250996,2.899582344,2.653514673,2.428939751,2.225939925,2.043297913,1.879458983,1.732482989,1.60046313,1.484031052,1.376698966,1.273841679,1.181465297,1.099558914,0.985030763,0.828125,0.625,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
